🕘️更新时间,#genre#
2026-04-03 12:35:29,http://27.223.143.234:4001/rtp/239.253.254.77:8000

📺央视频道,#genre#
CCTV-1,http://27.223.143.234:4001/rtp/239.253.254.77:8000
CCTV-1,http://27.223.143.225:4001/rtp/239.253.254.77:8000
CCTV-1,http://27.223.171.195:4001/rtp/239.253.254.77:8000
CCTV-1,http://39.77.22.1:4001/rtp/239.253.254.77:8000
CCTV-1,http://27.210.20.247:4001/rtp/239.253.254.77:8000
CCTV-1,http://171.83.2.139:1234/rtp/239.254.96.96:8550
CCTV-1,http://144.255.16.170:6688/rtp/239.21.1.120:5002
CCTV-1,http://183.191.140.139:8001/rtp/226.0.2.153:9136
CCTV-1,http://117.64.102.205:4022/rtp/238.1.78.166:7200
CCTV-1,http://171.120.189.21:89/rtp/226.0.2.153:9136
CCTV-2,http://27.223.143.234:4001/rtp/239.253.254.232:8000
CCTV-2,http://27.223.143.225:4001/rtp/239.253.254.232:8000
CCTV-2,http://27.223.171.195:4001/rtp/239.253.254.232:8000
CCTV-2,http://39.77.22.1:4001/rtp/239.253.254.232:8000
CCTV-2,http://27.210.20.247:4001/rtp/239.253.254.232:8000
CCTV-2,http://171.83.2.139:1234/rtp/239.69.1.102:10250
CCTV-2,http://144.255.16.170:6688/rtp/239.21.1.151:5002
CCTV-2,http://183.191.140.139:8001/rtp/226.0.2.154:9144
CCTV-2,http://117.64.102.205:4022/rtp/238.1.78.235:7752
CCTV-2,http://171.120.189.21:89/rtp/226.0.2.154:9144
CCTV-3,http://27.223.143.234:4001/rtp/239.253.254.191:8000
CCTV-3,http://27.223.143.225:4001/rtp/239.253.254.191:8000
CCTV-3,http://27.223.171.195:4001/rtp/239.253.254.191:8000
CCTV-3,http://39.77.22.1:4001/rtp/239.253.254.191:8000
CCTV-3,http://27.210.20.247:4001/rtp/239.253.254.191:8000
CCTV-3,http://171.83.2.139:1234/rtp/239.69.1.122:10370
CCTV-3,http://144.255.16.170:6688/rtp/239.21.2.45:5002
CCTV-3,http://183.191.140.139:8001/rtp/226.0.2.208:9576
CCTV-3,http://117.64.102.205:4022/rtp/238.1.78.170:7232
CCTV-3,http://171.120.189.21:89/rtp/226.0.2.208:9576
CCTV-4,http://27.223.143.234:4001/rtp/239.253.254.111:8000
CCTV-4,http://27.223.143.225:4001/rtp/239.253.254.111:8000
CCTV-4,http://27.223.171.195:4001/rtp/239.253.254.111:8000
CCTV-4,http://39.77.22.1:4001/rtp/239.253.254.111:8000
CCTV-4,http://27.210.20.247:4001/rtp/239.253.254.111:8000
CCTV-4,http://171.83.2.139:1234/rtp/239.69.1.138:10466
CCTV-4,http://144.255.16.170:6688/rtp/239.21.1.154:5002
CCTV-4,http://183.191.140.139:8001/rtp/226.0.2.156:9160
CCTV-4,http://117.64.102.205:4022/rtp/238.1.78.236:7760
CCTV-4,http://171.120.189.21:89/rtp/226.0.2.156:9160
CCTV-5,http://27.223.143.234:4001/rtp/239.253.254.192:8000
CCTV-5,http://27.223.143.225:4001/rtp/239.253.254.192:8000
CCTV-5,http://27.223.171.195:4001/rtp/239.253.254.192:8000
CCTV-5,http://39.77.22.1:4001/rtp/239.253.254.192:8000
CCTV-5,http://27.210.20.247:4001/rtp/239.253.254.192:8000
CCTV-5,http://144.255.16.170:6688/rtp/239.21.2.46:5002
CCTV-5,http://183.191.140.139:8001/rtp/226.0.2.209:9584
CCTV-5,http://117.64.102.205:4022/rtp/238.1.78.171:7240
CCTV-5,http://171.120.189.21:89/rtp/226.0.2.209:9584
CCTV-5,http://221.232.243.168:40000/rtp/239.69.1.123:10376
CCTV-5+,http://27.223.143.234:4001/rtp/239.253.254.80:8000
CCTV-5+,http://27.223.143.225:4001/rtp/239.253.254.80:8000
CCTV-5+,http://27.223.171.195:4001/rtp/239.253.254.80:8000
CCTV-5+,http://39.77.22.1:4001/rtp/239.253.254.80:8000
CCTV-5+,http://27.210.20.247:4001/rtp/239.253.254.80:8000
CCTV-5+,http://144.255.16.170:6688/rtp/239.21.1.142:5002
CCTV-5+,http://183.191.140.139:8001/rtp/226.0.2.168:9256
CCTV-5+,http://117.64.102.205:4022/rtp/238.1.78.237:7768
CCTV-5+,http://171.120.189.21:89/rtp/226.0.2.168:9256
CCTV-5+,http://221.232.243.168:40000/rtp/239.254.96.234:9484
CCTV-6,http://27.223.143.234:4001/rtp/239.253.254.193:8000
CCTV-6,http://27.223.143.225:4001/rtp/239.253.254.193:8000
CCTV-6,http://27.223.171.195:4001/rtp/239.253.254.193:8000
CCTV-6,http://39.77.22.1:4001/rtp/239.253.254.193:8000
CCTV-6,http://27.210.20.247:4001/rtp/239.253.254.193:8000
CCTV-6,http://171.83.2.139:1234/rtp/239.69.1.124:10382
CCTV-6,http://144.255.16.170:6688/rtp/239.21.2.47:5002
CCTV-6,http://183.191.140.139:8001/rtp/226.0.2.210:9592
CCTV-6,http://117.64.102.205:4022/rtp/238.1.78.172:7248
CCTV-6,http://171.120.189.21:89/rtp/226.0.2.210:9592
CCTV-7,http://27.223.143.234:4001/rtp/239.253.254.233:8000
CCTV-7,http://27.223.143.225:4001/rtp/239.253.254.233:8000
CCTV-7,http://27.223.171.195:4001/rtp/239.253.254.233:8000
CCTV-7,http://39.77.22.1:4001/rtp/239.253.254.233:8000
CCTV-7,http://27.210.20.247:4001/rtp/239.253.254.233:8000
CCTV-7,http://144.255.16.170:6688/rtp/239.21.1.152:5002
CCTV-7,http://183.191.140.139:8001/rtp/226.0.2.159:9184
CCTV-7,http://117.64.102.205:4022/rtp/238.1.78.239:7784
CCTV-7,http://171.120.189.21:89/rtp/226.0.2.159:9184
CCTV-7,http://221.232.243.168:40000/rtp/239.254.96.156:9130
CCTV-8,http://27.223.143.234:4001/rtp/239.253.254.194:8000
CCTV-8,http://27.223.143.225:4001/rtp/239.253.254.194:8000
CCTV-8,http://27.223.171.195:4001/rtp/239.253.254.194:8000
CCTV-8,http://39.77.22.1:4001/rtp/239.253.254.194:8000
CCTV-8,http://27.210.20.247:4001/rtp/239.253.254.194:8000
CCTV-8,http://171.83.2.139:1234/rtp/239.69.1.125:10388
CCTV-8,http://144.255.16.170:6688/rtp/239.21.2.48:5002
CCTV-8,http://183.191.140.139:8001/rtp/226.0.2.211:9600
CCTV-8,http://117.64.102.205:4022/rtp/238.1.78.173:7256
CCTV-8,http://171.120.189.21:89/rtp/226.0.2.211:9600
CCTV-9,http://27.223.143.234:4001/rtp/239.253.254.79:8000
CCTV-9,http://27.223.143.225:4001/rtp/239.253.254.79:8000
